start,survey_id,survey_version,country,community
2019-09-04T15:31:51.635-06:00,5029,9,MEX,PSC
2019-09-05T10:13:47.878-06:00,5032,12,MEX,PSC
2019-09-05T13:57:46.989-06:00,5035,1,MEX,PSC
2019-09-05T14:23:25.778-06:00,5036,6,MEX,PSC
2019-09-06T14:10:54.820-06:00,5041,15,MEX,PSC
2019-09-06T20:23:02.273-04:00,5043,13,MEX,PSC
2019-09-13T13:54:02.480-06:00,6009,10,MEX,ALT
2019-09-14T14:45:39.013-06:00,6013,11,MEX,ALT
2019-09-16T15:46:31.477+07:00,7001,13,IND,WKB
2019-09-16T16:44:54.471+08:00,7002,13,IND,WKB
2019-09-17T07:33:57.158+07:00,7003,11,IND,WKB
2019-09-17T08:33:28.331+08:00,7004,11,IND,WKB
2019-09-14T16:26:28.178-06:00,6015,14,MEX,ALT
2019-09-17T09:15:00.538+07:00,7005,15,IND,WKB
2019-09-17T09:21:49.353+08:00,7006,9,IND,WKB
2019-09-17T09:30:33.552+08:00,7007,9,IND,WKB
2019-09-14T18:50:04.110-06:00,6018,2,MEX,ALT
2019-09-17T10:05:51.711+08:00,7008,15,IND,WKB
2019-09-14T14:18:01.313-06:00,6019,8,MEX,ALT
2019-09-17T09:05:07.494-06:00,6020,4,MEX,ALT
2019-09-17T09:54:17.282-06:00,6021,5,MEX,ALT
2019-09-17T11:30:59.584+08:00,7009,8,IND,WKB
2019-09-17T10:23:17.029-06:00,6022,8,MEX,ALT
2019-09-17T11:45:30.244-06:00,6025,16,MEX,ALT
2019-09-17T15:22:28.025+07:00,7010,8,IND,WKB
2019-09-17T15:48:23.120+07:00,7011,4,IND,WKB
2019-09-17T11:56:57.512-06:00,6026,1,MEX,ALT
2019-09-17T16:23:02.149+08:00,7012,4,IND,WKB
2019-09-17T16:47:14.757+08:00,7013,5,IND,WKB
2019-09-17T17:29:16.904+08:00,7014,14,IND,WKB
2019-09-17T18:01:17.976-06:00,6029,9,MEX,ALT
2019-09-18T17:16:02.509-06:00,6033,1,MEX,ALT
2019-09-18T19:28:58.793-06:00,6034,2,MEX,ALT
2019-09-19T17:54:27.537-06:00,6036,5,MEX,ALT
2019-09-21T11:44:59.370-06:00,6040,14,MEX,ALT
2019-09-02T16:10:15.566-06,5003,8,MEX,PSC
2019-09-01T16:56:11.660-06,5009,16,MEX,PSC
2019-09-04T18:52:57.105-06:00,5014,2,MEX,PSC
2019-09-03T20:34:48.785-04,5025,13,MEX,PSC
2019-09-04T13:30:01.104-06:00,5027,4,MEX,PSC
2019-09-06T10:56:21.531-06:00,5039,11,MEX,PSC
2019-09-13T13:30:11.629-06:00,6008,9,MEX,ALT
2019-09-19T17:33:17.926-06:00,6035,3,MEX,ALT
2019-09-17T16:08:43.749-06:00,6027,13,MEX,ALT
2019-10-03T15:01:37.990+07:00,8001,15,IND,JPR
2019-10-02T16:06:26.720+07:00,8002,14,IND,JPR
2019-10-02T16:59:50.091+07:00,8003,16,IND,JPR
2019-10-03T10:06:04.223+07:00,8004,13,IND,JPR
2019-10-03T12:43:57.901+07:00,8005,11,IND,JPR
2019-10-03T13:09:44.286+07:00,8006,9,IND,JPR
