"start","end","survey_type","survey_id","survey_version","country","community","sex","boat_status","boat_power","boat_length","choice","package_nopackage","fishing_organization","punishment_severity","mpa","age","years_fishing","education","digits","gear_handline","gear_spear","gear_traps","gear_gillnet","gear_mobilenet","gear_statline","gear_buceo","gear_other","other_gear","fishtech_vhf","fishtech_fishfinder","fishtech_survcam","fishtech_catchapp","fishtech_gps","fishtech_vesseltrack","fishtech_other","fishtech_none","other_fishtech","enforcement_community_members","enforcement_village_leader","enforcement_village_gov","enforcement_provincial_gov","enforcement_national_gov","enforcement_none","enforcement_other","restriction_gear","restriction_size","restriction_season","restriction_spacial","restriction_quota","restriction_other","restriction_none","rank_one","rank_two","rank_three","rank_four","income_usd"
"2019-06-29 07:03:46","2019-07-02 04:40:02","data",1015,7,"IND","RAJ","M","own","no",3,1,"package_chosen","yes","strong","yes",42,30,"hs",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"trash_pollutin","iuu","weather","corruption",143
"2019-06-29 07:17:28","2019-07-02 04:32:12","data",1016,8,"IND","RAJ","M","rent","no",2,2,"package_chosen","yes","moderate","yes",37,16,"hs",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",143
"2019-06-29 07:27:49","2019-07-02 04:22:39","data",1017,9,"IND","RAJ","M","own","no",4,1,"package_chosen","yes","moderate","yes",40,15,"some_hs",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"weather","iuu","weather","corruption",143
"2019-06-30 07:13:32","2019-07-02 03:37:54","data",1018,7,"IND","RAJ","M","own","no",9,1,"package_chosen","no","none","yes",40,28,"some_hs",0,1,0,0,0,0,0,0,1,"Speargun",0,0,0,0,0,0,0,1,NA,1,1,1,1,0,0,0,1,1,0,1,0,0,0,"corruption","trash_pollutin","iuu","weather",71
"2019-07-02 03:22:11","2019-07-02 03:30:02","data",2001,10,"IND","MNC","M","own","no",13,2,"no_package","yes","severe","no",54,3,"hs",0,0,0,0,0,0,0,0,1,"Traditional net",0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"trash_pollutin","iuu","weather","corruption",71
"2019-07-01 16:00:41","2019-07-02 02:43:57","data",2002,7,"IND","MNC","M","own","yes",10,1,"no_package","yes","severe","no",40,24,"no_formal",0,0,0,0,0,0,0,0,1,"Traditional net",0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"trash_pollutin","iuu","weather","corruption",710
"2019-07-02 02:43:57","2019-07-02 03:00:47","data",2003,8,"IND","MNC","M","own","no",10,2,"no_package","yes","severe","no",36,9,"some_hs",0,0,0,0,0,0,0,0,1,"Traditional net",0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"trash_pollutin","iuu","weather","corruption",710
"2019-07-02 03:00:48","2019-07-02 03:22:10","data",2004,9,"IND","MNC","M","own","no",10,1,"no_package","yes","severe","no",40,30,"some_hs",0,0,0,0,0,0,0,0,1,"Traditional net",0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"trash_pollutin","weather","iuu","corruption",710
"2019-07-01 07:53:49","2019-07-02 02:43:22","data",3001,4,"IND","MAK","M","own","yes",28,2,"package_chosen","yes","weak","yes",40,20,"some_hs",0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,0,1,1,0,0,0,1,0,0,1,0,0,0,"trash_pollutin","weather","iuu","corruption",106
"2019-07-02 02:44:15","2019-07-02 02:53:42","data",3002,5,"IND","MAK","M","own","yes",8,1,"no_package","yes","weak","yes",50,30,"some_hs",0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,1,0,0,1,0,0,0,"trash_pollutin","weather","corruption","iuu",142
"2019-07-02 02:44:31","2019-07-02 03:52:24","data",3003,10,"IND","MAK","M","share_employee","yes",8,1,"no_package","no","none","no",39,31,"some_hs",0,0,0,0,0,1,0,0,0,"Payang",0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"weather","trash_pollutin","iuu","corruption",213
"2019-07-02 03:01:34","2019-07-02 03:10:41","data",3004,7,"IND","MAK","M","share_employee","no",7,2,"no_package","yes","weak","no",37,8,"some_hs",0,0,0,0,1,0,0,0,1,"jaring untuk ikan teri",0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"weather","corruption","iuu","trash_pollutin",71
"2019-07-02 03:13:08","2019-07-02 03:27:56","data",3005,7,"IND","MAK","M","share_collective","yes",3,1,"package_chosen","no","weak","yes",30,15,"hs",0,0,0,0,0,1,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"weather","iuu","corruption","trash_pollutin",178
"2019-07-02 03:27:26","2019-07-02 03:51:02","data",3006,11,"IND","MAK","M","share_employee","yes",7,2,"no_package","no","none","no",41,30,"some_hs",0,0,0,0,0,1,0,0,0,"Payang (jaring tarik)",0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",178
"2019-07-02 03:51:53","2019-07-02 03:59:47","data",3007,8,"IND","MAK","M","share_collective","no",3,2,"package_chosen","yes","weak","no",35,20,"some_hs",0,0,0,0,0,1,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"weather","iuu","corruption","trash_pollutin",71
"2019-07-02 04:02:38","2019-07-02 04:16:01","data",3008,9,"IND","MAK","M","rent","yes",3,1,"package_chosen","yes","weak","no",45,30,"no_formal",0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,1,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"trash_pollutin","iuu","weather","corruption",178
"2019-07-02 04:06:02","2019-07-02 04:51:57","data",3009,13,"IND","MAK","M","share_employee","yes",15,2,"package_chosen","no","none","no",75,13,"no_formal",0,0,0,1,0,0,0,0,0,"0",0,1,0,0,0,1,1,0,"Solar panel",0,0,0,0,0,0,1,0,0,0,1,0,0,0,"corruption","weather","iuu","trash_pollutin",178
"2019-07-02 04:21:28","2019-07-02 04:32:48","data",3010,10,"IND","MAK","M","share_employee","yes",7,2,"package_chosen","yes","weak","yes",19,4,"some_hs",0,0,0,0,0,1,0,0,1,"payang",0,0,0,0,0,0,0,1,NA,0,0,0,0,1,0,0,1,0,0,1,0,0,0,"weather","corruption","trash_pollutin","iuu",71
"2019-07-02 04:49:38","2019-07-02 05:04:31","data",3011,10,"IND","MAK","M","share_collective","yes",3,2,"package_chosen","no","weak","yes",46,20,"hs",0,0,0,1,0,0,0,0,0,"jading ditebar",0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"weather","trash_pollutin","iuu","corruption",142
"2019-07-02 05:19:16","2019-07-02 05:28:42","data",3012,11,"IND","MAK","M","share_employee","yes",3,1,"package_chosen","yes","weak","no",32,9,"some_hs",0,0,0,1,0,0,0,0,1,"jaring rajungan",0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"weather","trash_pollutin","iuu","corruption",142
"2019-07-02 05:29:47","2019-07-02 05:49:55","data",3013,11,"IND","MAK","M","own","yes",8,1,"package_chosen","yes","weak","no",39,29,"some_hs",0,0,0,1,0,0,0,0,1,"jaring rajungan",0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"iuu","weather","corruption","trash_pollutin",142
"2019-07-02 05:53:12","2019-07-02 06:24:18","data",3014,14,"IND","MAK","M","own","yes",16,2,"no_package","yes","moderate","no",60,50,"some_hs",0,0,0,0,0,1,0,0,0,"Purseine",0,0,0,0,0,0,0,1,"Hanya handphone yang dibawa nelayan",0,0,0,0,1,0,0,0,0,0,0,0,0,1,"weather","iuu","corruption","trash_pollutin",1420
"2019-07-02 06:39:45","2019-07-02 07:17:23","data",3015,14,"IND","MAK","M","own","no",5,2,"package_chosen","no","strong","no",47,30,"some_hs",0,0,0,0,1,0,0,0,0,"Rampus",0,0,0,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"trash_pollutin","weather","iuu","corruption",178
"2019-07-02 07:01:25","2019-07-02 07:16:17","data",3016,9,"IND","MAK","M","share_employee","no",5,1,"package_chosen","yes","none","no",42,32,"some_hs",0,0,0,0,1,0,0,0,0,"Jaring rampus pendek",0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"trash_pollutin","weather","iuu","corruption",213
"2019-07-02 07:28:30","2019-07-02 07:38:14","data",3017,2,"IND","MAK","M","own","no",5,1,"package_chosen","no","none","no",42,30,"some_hs",0,0,0,0,1,0,0,0,1,"Jaring rampus",0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"trash_pollutin","weather","iuu","corruption",178
"2019-07-02 07:39:08","2019-07-02 07:45:08","data",3018,3,"IND","MAK","M","share_employee","no",5,2,"package_chosen","no","none","no",40,25,"some_hs",0,0,0,0,1,0,0,0,0,"Jaring rampus",0,0,0,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"trash_pollutin","weather","iuu","corruption",178
