survey_id,wtp,start,end,survey_type,survey_version,country,community,sex,boat_status,boat_power,boat_length,choice,package_nopackage,fishing_organization,punishment_severity,mpa,age,years_fishing,education,digits,gear_handline,gear_spear,gear_traps,gear_gillnet,gear_mobilenet,gear_statline,gear_buceo,gear_other,other_gear,fishtech_vhf,fishtech_fishfinder,fishtech_survcam,fishtech_catchapp,fishtech_gps,fishtech_vesseltrack,fishtech_other,fishtech_none,other_fishtech,enforcement_community_members,enforcement_village_leader,enforcement_village_gov,enforcement_provincial_gov,enforcement_national_gov,enforcement_none,enforcement_other,restriction_gear,restriction_size,restriction_season,restriction_spacial,restriction_quota,restriction_other,restriction_none,rank_one,rank_two,rank_three,rank_four,income_usd,opinion_a,opinion_b,opinion_c,opinion_d,opinion_e,opinion_f,opinion_g,opinion_h,opinion_i,trust_a,trust_b,trust_c,trust_d,trust_e,trust_f,trust_g,trust_h,trust_i,trust_j,trust_k,trust_l,satisfaction_a,satisfaction_b,satisfaction_c
1011,-2,2019-06-30 5:21,2019-07-02 3:50,data,4,IND,RAJ,M,own,no,6,1,no_package,yes,strong,no,37,5,secondary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,1,1,0,0,0,1,1,0,1,0,0,0,iuu,corruption,weather,trash_pollutin,284,agree,disagree,agree,strongly_agree,agree,disagree,agree,agree,agree,trust_entirely,somewhat_distr,trust_entirely,trust_entirely,trust_entirely,neutral,trust_entirely,trust_entirely,trust_entirely,trust_entirely,NA,trust_entirely,satisfied,satisfied,satisfied
1012,1,2019-06-29 7:35,2019-07-02 4:31,data,10,IND,RAJ,M,own,no,8,2,package_chosen,yes,moderate,yes,52,30,vocational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,weather,iuu,trash_pollutin,corruption,143,agree,neutral,agree,agree,agree,strongly_disag,strongly_disag,disagree,agree,somewhat_distr,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,somewhat_distr,extremely_sati,extremely_unsa,satisfied
1013,3,2019-06-30 0:38,2019-07-02 3:53,data,3,IND,RAJ,M,rent,no,6,2,package_chosen,yes,strong,yes,33,15,secondary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,1,1,0,0,0,1,0,0,1,0,0,0,iuu,corruption,trash_pollutin,weather,106,agree,strongly_agree,agree,strongly_disag,agree,disagree,strongly_agree,neutral,agree,trust_entirely,somewhat_trust,trust_entirely,somewhat_trust,somewhat_trust,NA,somewhat_trust,NA,somewhat_trust,somewhat_trust,NA,neutral,satisfied,neutral,satisfied
1014,2,2019-06-27 7:08,2019-07-02 4:33,data,6,IND,RAJ,M,own,no,4,2,package_chosen,yes,none,yes,50,15,vocational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,weather,trash_pollutin,iuu,corruption,143,agree,agree,agree,agree,neutral,disagree,disagree,disagree,agree,trust_entirely,trust_entirely,trust_entirely,trust_entirely,somewhat_distr,somewhat_distr,neutral,trust_entirely,trust_entirely,trust_entirely,trust_entirely,distrust_entir,extremely_sati,unsatisfied,satisfied
1015,2,2019-06-29 7:03,2019-07-02 4:40,data,7,IND,RAJ,M,own,no,3,1,package_chosen,yes,strong,yes,42,30,secondary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,trash_pollutin,iuu,weather,corruption,143,agree,agree,agree,agree,agree,disagree,disagree,disagree,agree,trust_entirely,trust_entirely,trust_entirely,trust_entirely,somewhat_distr,somewhat_distr,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,neutral,satisfied,unsatisfied,neutral
1016,1,2019-06-29 7:17,2019-07-02 4:32,data,8,IND,RAJ,M,rent,no,2,2,package_chosen,yes,moderate,yes,37,16,secondary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,weather,trash_pollutin,iuu,corruption,143,agree,agree,agree,disagree,disagree,disagree,agree,agree,agree,trust_entirely,trust_entirely,trust_entirely,trust_entirely,somewhat_distr,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,satisfied,unsatisfied,unsatisfied
1017,2,2019-06-29 7:27,2019-07-02 4:22,data,9,IND,RAJ,M,own,no,4,1,package_chosen,yes,moderate,yes,40,15,secondary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,weather,iuu,trash_pollutin,corruption,143,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_agree,strongly_agree,somewhat_distr,trust_entirely,trust_entirely,trust_entirely,distrust_entir,trust_entirely,trust_entirely,trust_entirely,trust_entirely,neutral,trust_entirely,distrust_entir,satisfied,unsatisfied,satisfied
1018,4,2019-06-30 7:13,2019-07-02 3:37,data,7,IND,RAJ,M,own,no,9,1,package_chosen,no,none,yes,40,28,secondary,0,1,0,0,0,0,0,0,1,Speargun,0,0,0,0,0,0,0,1,NA,1,1,1,1,0,0,0,1,1,0,1,0,0,0,corruption,trash_pollutin,iuu,weather,71,disagree,strongly_disag,disagree,agree,agree,disagree,strongly_agree,strongly_disag,strongly_disag,trust_entirely,trust_entirely,neutral,trust_entirely,trust_entirely,neutral,trust_entirely,trust_entirely,trust_entirely,trust_entirely,NA,trust_entirely,extremely_sati,unsatisfied,satisfied
2001,-5,2019-07-02 3:22,2019-07-02 3:30,data,10,IND,MNC,M,own,no,13,2,no_package,yes,severe,no,54,3,secondary,0,0,0,0,0,0,0,0,1,Traditional net,0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,trash_pollutin,iuu,weather,corruption,71,neutral,strongly_disag,agree,neutral,agree,agree,agree,agree,disagree,trust_entirely,trust_entirely,neutral,somewhat_trust,somewhat_trust,neutral,neutral,neutral,neutral,neutral,NA,somewhat_distr,neutral,extremely_unsa,unsatisfied
2002,-5,2019-07-01 16:00,2019-07-02 2:43,data,7,IND,MNC,M,own,yes,10,1,no_package,yes,severe,no,40,24,no_formal,0,0,0,0,0,0,0,0,1,Traditional net,0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,trash_pollutin,iuu,weather,corruption,710,neutral,strongly_disag,agree,agree,agree,agree,strongly_disag,agree,disagree,trust_entirely,trust_entirely,neutral,neutral,somewhat_trust,neutral,neutral,neutral,neutral,trust_entirely,NA,distrust_entir,neutral,extremely_unsa,satisfied
